Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2507136277030552,0.22014967186061132,0.28127758354549914,8.508242524613529,0.003990938921967245
Throughput(Mbps),mitm,0.18301286629739572,0.14847768185306415,0.21754805074172728,8.508242524613529,0.003990938921967245
EndToEndDelay(ms),normal,2.4455663002747534,2.007126636036094,2.884005964513413,5.063168765085804,0.025663867543969276
EndToEndDelay(ms),mitm,1.721977428530465,1.2571753726418393,2.1867794844190906,5.063168765085804,0.025663867543969276
Jitter(ms),normal,0.7627349268911688,0.6696576500702146,0.8558122037121231,18.806088027538944,2.418280891209145e-05
Jitter(ms),mitm,0.5161454707640917,0.4520978706602221,0.5801930708679612,18.806088027538944,2.418280891209145e-05
PacketLoss(%),normal,0.8217928145468011,0.5678079332676345,1.0757776958259677,19.12432610677474,2.0800352802720087e-05
PacketLoss(%),mitm,0.17557281858129314,0.028255612172384564,0.3228900249902017,19.12432610677474,2.0800352802720087e-05
