Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Jitter(ms),dos,mqtt,0.0008960761876388347,0.0007627349268911688,-0.00013330000000000001,0.0004317,-0.000339,7.230000000000001e-05,0.0
Jitter(ms),dos,normal,0.0008960761876388347,0.0007627349268911688,-0.00013330000000000001,0.0004317,-0.000339,7.230000000000001e-05,0.0
Jitter(ms),mitm,mqtt,0.0006191572289738677,0.0007627349268911688,0.0001436,0.0003455,-6.21e-05,0.00034920000000000003,0.0
Jitter(ms),mitm,normal,0.0006191572289738677,0.0007627349268911688,0.0001436,0.0003455,-6.21e-05,0.00034920000000000003,0.0
Jitter(ms),mqtt,normal,0.0007627349268911688,0.0007627349268911688,0.0,0.001,-0.00020569999999999999,0.00020569999999999999,0.0
PacketLoss(%),blackhole,ddos,1.6006061452857163,1.8550185852362164,0.2544,1.0,-5.2597,5.7685,False
PacketLoss(%),blackhole,dos,1.6006061452857163,1.8550185852362164,0.2544,1.0,-5.2597,5.7685,False
PacketLoss(%),blackhole,mitm,1.6006061452857163,11.364406779661016,9.7638,0.0,4.2497,15.2779,True
PacketLoss(%),blackhole,mqtt,1.6006061452857163,0.8217928145468011,-0.7788,0.9986,-6.2929,4.7353,False
PacketLoss(%),blackhole,normal,1.6006061452857163,0.8217928145468011,-0.7788,0.9986,-6.2929,4.7353,False
PacketLoss(%),ddos,dos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.5141,5.5141,False
PacketLoss(%),ddos,mitm,1.8550185852362164,11.364406779661016,9.5094,0.0,3.9953,15.0235,True
PacketLoss(%),ddos,mqtt,1.8550185852362164,0.8217928145468011,-1.0332,0.9947,-6.5473,4.4809,False
PacketLoss(%),ddos,normal,1.8550185852362164,0.8217928145468011,-1.0332,0.9947,-6.5473,4.4809,False
PacketLoss(%),dos,mitm,1.8550185852362164,11.364406779661016,9.5094,0.0,3.9953,15.0235,True
PacketLoss(%),dos,mqtt,1.8550185852362164,0.8217928145468011,-1.0332,0.9947,-6.5473,4.4809,False
PacketLoss(%),dos,normal,1.8550185852362164,0.8217928145468011,-1.0332,0.9947,-6.5473,4.4809,False
PacketLoss(%),mitm,mqtt,11.364406779661016,0.8217928145468011,-10.5426,0.0,-16.0567,-5.0285,True
PacketLoss(%),mitm,normal,11.364406779661016,0.8217928145468011,-10.5426,0.0,-16.0567,-5.0285,True
PacketLoss(%),mqtt,normal,0.8217928145468011,0.8217928145468011,0.0,1.0,-5.5141,5.5141,False
