Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Jitter(s),mqtt,normal,0.0007627349268911688,0.0010952383587659136,0.0003325,0.0001,0.0001209,0.0005441,True
PacketLoss(%),blackhole,ddos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.4566,5.4566,False
PacketLoss(%),blackhole,dos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.4566,5.4566,False
PacketLoss(%),blackhole,mitm,1.8550185852362164,11.499843063402386,9.6448,0.0,4.1883,15.1014,True
PacketLoss(%),blackhole,mqtt,1.8550185852362164,0.8217928145468011,-1.0332,0.9944,-6.4898,4.4233,False
PacketLoss(%),blackhole,normal,1.8550185852362164,0.364406779661017,-1.4906,0.9672,-6.809,3.8278,False
PacketLoss(%),ddos,dos,1.8550185852362164,1.8550185852362164,0.0,1.0,-5.4566,5.4566,False
PacketLoss(%),ddos,mitm,1.8550185852362164,11.499843063402386,9.6448,0.0,4.1883,15.1014,True
PacketLoss(%),ddos,mqtt,1.8550185852362164,0.8217928145468011,-1.0332,0.9944,-6.4898,4.4233,False
PacketLoss(%),ddos,normal,1.8550185852362164,0.364406779661017,-1.4906,0.9672,-6.809,3.8278,False
PacketLoss(%),dos,mitm,1.8550185852362164,11.499843063402386,9.6448,0.0,4.1883,15.1014,True
PacketLoss(%),dos,mqtt,1.8550185852362164,0.8217928145468011,-1.0332,0.9944,-6.4898,4.4233,False
PacketLoss(%),dos,normal,1.8550185852362164,0.364406779661017,-1.4906,0.9672,-6.809,3.8278,False
PacketLoss(%),mitm,mqtt,11.499843063402386,0.8217928145468011,-10.6781,0.0,-16.1346,-5.2215,True
PacketLoss(%),mitm,normal,11.499843063402386,0.364406779661017,-11.1354,0.0,-16.4538,-5.817,True
PacketLoss(%),mqtt,normal,0.8217928145468011,0.364406779661017,-0.4574,0.9999,-5.7758,4.861,False
