Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Throughput(Mbps),mitm,normal,0.1827761390799329,0.2507136277030552,0.0679,0.0039,0.0221,0.1137,True
EndToEndDelay(ms),mitm,normal,0.0019804365134260785,0.0024455663002747536,0.00046510000000000003,0.1517,-0.0001724,0.0011027,False
Jitter(ms),mitm,normal,0.0006549869665136173,0.0007627349268911688,0.0001077,0.0842,-1.47e-05,0.00023019999999999998,False
PacketLoss(%),mitm,normal,0.2155131826741996,0.8217928145468011,0.6063,0.0001,0.3061,0.9064,True
