Metric,Group1,Group2,Mean1,Mean2,MeanDiff,p-adj,CI Lower,CI Upper,Reject
Throughput(Mbps),mitm,normal,0.1830128662973957,0.2507136277030552,0.0677,0.004,0.0219,0.1135,True
EndToEndDelay(ms),mitm,normal,0.001721977428530465,0.0024455663002747536,0.0007236,0.0257,8.9e-05,0.0013582000000000002,True
Jitter(ms),mitm,normal,0.0005161454707640916,0.0007627349268911688,0.00024660000000000003,0.0,0.0001344,0.0003588,True
PacketLoss(%),mitm,normal,0.1755728185812931,0.8217928145468011,0.6462,0.0,0.3546,0.9378,True
