Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2507136277030552,0.2201496718606113,0.2812775835454991,8.565503010659471,0.0038729954825697
Throughput(Mbps),mitm,0.1827761390799329,0.1482325271138447,0.217319751046021,8.565503010659471,0.0038729954825697
EndToEndDelay(ms),normal,0.0024455663002747536,0.002007126636036094,0.002884005964513413,2.0729097729531225,0.1516916006522692
EndToEndDelay(ms),mitm,0.0019804365134260785,0.001511581690035968,0.0024492913368161884,2.0729097729531225,0.1516916006522692
Jitter(ms),normal,0.0007627349268911688,0.0006696576500702146,0.0008558122037121231,3.0150361746937366,0.0842258029725192
Jitter(ms),mitm,0.0006549869665136173,0.0005741227871500949,0.0007358511458771397,3.0150361746937366,0.0842258029725192
PacketLoss(%),normal,0.8217928145468011,0.5678079332676345,1.0757776958259675,15.889814779627496,9.784881281127604e-05
PacketLoss(%),mitm,0.2155131826741996,0.0517398687606282,0.3792864965877709,15.889814779627496,9.784881281127604e-05
