Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2524376363816784,0.2312110081747405,0.2736642645886162,0.5003905240249656,0.7760515081939892
Throughput(Mbps),dos,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.5003905240249656,0.7760515081939892
Throughput(Mbps),ddos,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.5003905240249656,0.7760515081939892
Throughput(Mbps),mitm,0.2238214574107829,0.1895945606852128,0.2580483541363529,0.5003905240249656,0.7760515081939892
Throughput(Mbps),blackhole,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.5003905240249656,0.7760515081939892
Throughput(Mbps),mqtt,0.2507136277030552,0.2201496718606113,0.2812775835454991,0.5003905240249656,0.7760515081939892
EndToEndDelay(ms),normal,0.002288009858748969,0.0020373254615605775,0.00253869425593736,0.0022011367162763657,5.2665464202961495e-05
EndToEndDelay(ms),dos,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,0.0022011367162763657,5.2665464202961495e-05
EndToEndDelay(ms),ddos,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,0.0022011367162763657,5.2665464202961495e-05
EndToEndDelay(ms),mitm,0.001863003117135304,0.0014749709450345273,0.0022510352892360797,0.0022011367162763657,5.2665464202961495e-05
EndToEndDelay(ms),blackhole,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,0.0022011367162763657,5.2665464202961495e-05
EndToEndDelay(ms),mqtt,0.0024455663002747536,0.002007126636036094,0.002884005964513413,0.0022011367162763657,5.2665464202961495e-05
Jitter(ms),normal,0.0007624586318740222,0.0006973767390491973,0.0008275405246988471,0.005035168025675511,1.5637547752689997e-07
Jitter(ms),dos,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,0.005035168025675511,1.5637547752689997e-07
Jitter(ms),ddos,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,0.005035168025675511,1.5637547752689997e-07
Jitter(ms),mitm,0.0006204625155563774,0.0005183939766278319,0.000722531054484923,0.005035168025675511,1.5637547752689997e-07
Jitter(ms),blackhole,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,0.005035168025675511,1.5637547752689997e-07
Jitter(ms),mqtt,0.0007627349268911688,0.0006696576500702146,0.0008558122037121231,0.005035168025675511,1.5637547752689997e-07
PacketLoss(%),normal,0.6070671542916052,0.4363044831998663,0.777829825383344,11.560426574368654,1.0741896904237461e-10
PacketLoss(%),dos,1.8550185852362164,1.5216656505070945,2.1883715199653384,11.560426574368654,1.0741896904237461e-10
PacketLoss(%),ddos,1.8550185852362164,1.5216656505070945,2.1883715199653384,11.560426574368654,1.0741896904237461e-10
PacketLoss(%),mitm,11.499843063402386,4.906281345390187,18.093404781414584,11.560426574368654,1.0741896904237461e-10
PacketLoss(%),blackhole,1.8550185852362164,1.5216656505070945,2.1883715199653384,11.560426574368654,1.0741896904237461e-10
PacketLoss(%),mqtt,0.8217928145468011,0.5678079332676345,1.0757776958259675,11.560426574368654,1.0741896904237461e-10
