Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2507136277030552,0.22014967186061132,0.28127758354549914,0.4448409018365094,0.817099086683014
Throughput(Mbps),dos,0.24753083460254852,0.2173121534245614,0.27774951578053564,0.4448409018365094,0.817099086683014
Throughput(Mbps),ddos,0.24753083460254852,0.2173121534245614,0.27774951578053564,0.4448409018365094,0.817099086683014
Throughput(Mbps),mitm,0.2242105728066907,0.1899516459030111,0.2584694997103703,0.4448409018365094,0.817099086683014
Throughput(Mbps),blackhole,0.2504343137055238,0.22078978523065373,0.2800788421803939,0.4448409018365094,0.817099086683014
Throughput(Mbps),mqtt,0.2507136277030552,0.22014967186061132,0.28127758354549914,0.4448409018365094,0.817099086683014
EndToEndDelay(ms),normal,2.4455663002747534,2.007126636036094,2.884005964513413,1.985911660802442,0.07912436608364315
EndToEndDelay(ms),dos,2.6208093192830035,2.1882275907118336,3.0533910478541735,1.985911660802442,0.07912436608364315
EndToEndDelay(ms),ddos,2.6208093192830035,2.1882275907118336,3.0533910478541735,1.985911660802442,0.07912436608364315
EndToEndDelay(ms),mitm,1.8567191454093688,1.4694953986268051,2.2439428921919324,1.985911660802442,0.07912436608364315
EndToEndDelay(ms),blackhole,2.288787767660566,2.0405245611624196,2.537050974158712,1.985911660802442,0.07912436608364315
EndToEndDelay(ms),mqtt,2.4455663002747534,2.007126636036094,2.884005964513413,1.985911660802442,0.07912436608364315
Jitter(ms),normal,0.7627349268911688,0.6696576500702146,0.8558122037121231,4.762803730599222,0.0002876166608808322
Jitter(ms),dos,0.8960761876388347,0.7893735825239147,1.0027787927537548,4.762803730599222,0.0002876166608808322
Jitter(ms),ddos,0.8960761876388347,0.7893735825239147,1.0027787927537548,4.762803730599222,0.0002876166608808322
Jitter(ms),mitm,0.6191572289738677,0.5176549782534587,0.7206594796942767,4.762803730599222,0.0002876166608808322
Jitter(ms),blackhole,0.8878726933054085,0.7837658195365531,0.9919795670742639,4.762803730599222,0.0002876166608808322
Jitter(ms),mqtt,0.7627349268911688,0.6696576500702146,0.8558122037121231,4.762803730599222,0.0002876166608808322
PacketLoss(%),normal,0.8217928145468011,0.5678079332676345,1.0757776958259677,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),dos,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),ddos,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),mitm,11.364406779661017,4.761760323633803,17.967053235688233,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),blackhole,1.6006061452857165,1.3207179068427726,1.8804943837286605,9.041362641788414,2.9042810171173186e-08
PacketLoss(%),mqtt,0.8217928145468011,0.5678079332676345,1.0757776958259677,9.041362641788414,2.9042810171173186e-08
