Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2507136277030552,0.22014967186061132,0.28127758354549914,8.565503010659471,0.0038729954825697833
Throughput(Mbps),mitm,0.18277613907993293,0.14823252711384477,0.21731975104602108,8.565503010659471,0.0038729954825697833
EndToEndDelay(ms),normal,2.4455663002747534,2.007126636036094,2.884005964513413,2.0729097729531225,0.1516916006522692
EndToEndDelay(ms),mitm,1.9804365134260782,1.511581690035968,2.4492913368161884,2.0729097729531225,0.1516916006522692
Jitter(ms),normal,0.7627349268911688,0.6696576500702146,0.8558122037121231,3.0150361746937366,0.0842258029725192
Jitter(ms),mitm,0.6549869665136173,0.5741227871500949,0.7358511458771397,3.0150361746937366,0.0842258029725192
PacketLoss(%),normal,0.8217928145468011,0.5678079332676345,1.0757776958259677,15.889814779627496,9.784881281127605e-05
PacketLoss(%),mitm,0.2155131826741996,0.05173986876062828,0.3792864965877709,15.889814779627496,9.784881281127605e-05
