Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2524376363816784,0.23121100817474055,0.2736642645886162,2.1568915024794246,0.14310431886504998
Throughput(Mbps),mitm,0.2238214574107829,0.18959456068521285,0.25804835413635296,2.1568915024794246,0.14310431886504998
EndToEndDelay(ms),normal,2.2880098587489686,2.0373254615605774,2.5386942559373598,3.5186739518704067,0.061767951998226135
EndToEndDelay(ms),mitm,1.8630031171353036,1.4749709450345274,2.25103528923608,3.5186739518704067,0.061767951998226135
Jitter(ms),normal,0.7624586318740222,0.6973767390491973,0.8275405246988471,5.7706851963743375,0.016976405144630967
Jitter(ms),mitm,0.6204625155563774,0.5183939766278319,0.7225310544849229,5.7706851963743375,0.016976405144630967
PacketLoss(%),normal,0.6070671542916052,0.43630448319986637,0.777829825383344,21.572006783059894,5.345471113939981e-06
PacketLoss(%),mitm,11.499843063402386,4.906281345390187,18.093404781414584,21.572006783059894,5.345471113939981e-06
