Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2507136277030552,0.2201496718606113,0.2812775835454991,8.508242524613529,0.0039909389219672
Throughput(Mbps),mitm,0.1830128662973957,0.1484776818530641,0.2175480507417272,8.508242524613529,0.0039909389219672
EndToEndDelay(ms),normal,0.0024455663002747536,0.002007126636036094,0.002884005964513413,5.063168765085804,0.0256638675439692
EndToEndDelay(ms),mitm,0.001721977428530465,0.0012571753726418392,0.00218677948441909,5.063168765085804,0.0256638675439692
Jitter(ms),normal,0.0007627349268911688,0.0006696576500702146,0.0008558122037121231,18.806088027538944,2.418280891209145e-05
Jitter(ms),mitm,0.0005161454707640916,0.00045209787066022213,0.0005801930708679612,18.806088027538944,2.418280891209145e-05
PacketLoss(%),normal,0.8217928145468011,0.5678079332676345,1.0757776958259675,19.12432610677474,2.0800352802720087e-05
PacketLoss(%),mitm,0.1755728185812931,0.0282556121723845,0.3228900249902017,19.12432610677474,2.0800352802720087e-05
