Metric,Scenario,Mean,95CI_Lower,95CI_Upper,F-statistic,P-value
Throughput(Mbps),normal,0.2569307161781527,0.2298853883110589,0.2839760440452465,0.548628130574452,0.7394145856831544
Throughput(Mbps),dos,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.548628130574452,0.7394145856831544
Throughput(Mbps),ddos,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.548628130574452,0.7394145856831544
Throughput(Mbps),mitm,0.2238214574107829,0.1895945606852128,0.2580483541363529,0.548628130574452,0.7394145856831544
Throughput(Mbps),blackhole,0.2475308346025485,0.2173121534245614,0.2777495157805356,0.548628130574452,0.7394145856831544
Throughput(Mbps),mqtt,0.2507136277030552,0.2201496718606113,0.2812775835454991,0.548628130574452,0.7394145856831544
EndToEndDelay(s),normal,0.002827711669794466,0.002600390750821437,0.003055032588767495,2.8495130359921776,0.0149691886296669
EndToEndDelay(s),dos,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,2.8495130359921776,0.0149691886296669
EndToEndDelay(s),ddos,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,2.8495130359921776,0.0149691886296669
EndToEndDelay(s),mitm,0.001863003117135304,0.0014749709450345273,0.0022510352892360797,2.8495130359921776,0.0149691886296669
EndToEndDelay(s),blackhole,0.0026208093192830037,0.0021882275907118337,0.0030533910478541732,2.8495130359921776,0.0149691886296669
EndToEndDelay(s),mqtt,0.0024455663002747536,0.002007126636036094,0.002884005964513413,2.8495130359921776,0.0149691886296669
Jitter(s),normal,0.0010952383587659136,0.0009806836980067529,0.0012097930195250743,9.170124672575955,2.168523156241042e-08
Jitter(s),dos,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,9.170124672575955,2.168523156241042e-08
Jitter(s),ddos,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,9.170124672575955,2.168523156241042e-08
Jitter(s),mitm,0.0006204625155563774,0.0005183939766278319,0.000722531054484923,9.170124672575955,2.168523156241042e-08
Jitter(s),blackhole,0.0008960761876388347,0.0007893735825239146,0.0010027787927537547,9.170124672575955,2.168523156241042e-08
Jitter(s),mqtt,0.0007627349268911688,0.0006696576500702146,0.0008558122037121231,9.170124672575955,2.168523156241042e-08
PacketLoss(%),normal,0.364406779661017,0.1622292101464633,0.5665843491755705,9.74026151892986,6.326608722132578e-09
PacketLoss(%),dos,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.74026151892986,6.326608722132578e-09
PacketLoss(%),ddos,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.74026151892986,6.326608722132578e-09
PacketLoss(%),mitm,11.499843063402386,4.906281345390187,18.093404781414584,9.74026151892986,6.326608722132578e-09
PacketLoss(%),blackhole,1.8550185852362164,1.5216656505070945,2.1883715199653384,9.74026151892986,6.326608722132578e-09
PacketLoss(%),mqtt,0.8217928145468011,0.5678079332676345,1.0757776958259675,9.74026151892986,6.326608722132578e-09
